リークアドレス,リークサイズ,保持時間
3105605487208,48,3818687
3105605487272,48,3818640
3105605487136,24,3818437
3105605487392,24,3818250
3105605487608,48,3817640
3105605487672,48,3817515
3105605487336,24,3817312
3105605487792,24,3817140
3105605487040,24,3817062
3105605488008,144,3816094
3105605487504,48,3815953
3105605487736,24,3815765
3105605487568,24,3815594
3105605487832,24,3815531
3105605487944,24,3815344
3105605487432,24,3815265
3105605488168,24,3815219
3105605488208,24,3815156
3105605488352,80,3814969
3105605487872,32,3814469
3105605489128,48,3814406
3105605489192,112,3814328
3105605489320,200,3814281
3105605489536,80,3814219
3105605489632,48,3814140
3105605488248,48,3813719
3105605489696,144,3813578
3105605484864,32,3813469
3105605484912,80,3813406
3105605485008,48,3813344
3105605485072,48,3813281
3105605489856,272,3813219
3105605490144,472,3813156
3105605490632,272,3813094
3105605490920,272,3813031
3105605485136,48,3812969
3105605491208,272,3812906
3105605491496,272,3812656
3105605492336,272,3812594
3105605485200,144,3812531
3105605488312,24,3812469
3105605485360,24,3812422
3105605492624,144,3812359
3105605492784,272,3812281
3105605493072,48,3812219
3105605493136,48,3811844
3105605493200,48,3811719
3105605493304,24,3811609
3105605493264,24,3811422
3105605493400,24,3811344
3105605493344,24,3811172
3105605493512,24,3811109
3105605493552,24,3811047
3105605493592,24,3810984
3105605493736,24,3810484
3105605493776,48,3810422
3105605493672,24,3810234
3105605493632,24,3810047
3105605493896,24,3809984
3105605494008,48,3809234
3105605494072,48,3809172
3105605493936,24,3808984
3105605494192,24,3808797
3105605494408,48,3808172
3105605494472,48,3808047
3105605494136,24,3807859
3105605494592,24,3807672
3105605493840,24,3807609
3105605494808,144,3806609
3105605494304,48,3806484
3105605494536,24,3806297
3105605494368,24,3806109
3105605494632,24,3806031
3105605494744,24,3805859
3105605494232,24,3805797
3105605494968,24,3805734
3105605495008,24,3805672
3105605495152,80,3805484
3105605494672,32,3804984
3105605495928,48,3804922
3105605495992,112,3804859
3105605496120,200,3804797
3105605496336,80,3804750
3105605496432,48,3804672
3105605495048,48,3804234
3105605496496,144,3804109
3105605491784,144,3803875
3105605495248,80,3803797
3105605491944,80,3803734
3105605492040,80,3803609
3105605492136,144,3803547
3105605495344,144,3803484
3105605495504,80,3803437
